theta_degrees,delta_r,optimal_gamma,mmd_dist,mmd_bound,bound_holds
0.0,0.0041999999999999815,0.18072620852284443,0.0,0.08562277660168384,True
9.0,0.0029000000000000137,0.189025178386501,0.004023713971531081,0.04264649057321488,True
18.0,0.0011999999999999789,0.18820447848704952,0.005518818717849061,0.06224159531953286,True
27.0,0.0007000000000000339,0.1804937692307767,0.0076925596586248654,0.062415336260308665,True
36.0,0.0010000000000000009,0.17351582914312158,0.012228289581519702,0.07185106618320353,True
45.0,0.0,0.1796968461564353,0.01632646930071504,0.09514924590239886,True
54.0,0.0007000000000000339,0.17666148977474533,0.016620315496840316,0.08164309209852409,True
63.0,0.0037999999999999146,0.17664678026239125,0.01936076851632961,0.0620835451180134,True
72.0,0.0010000000000000009,0.17602020706240523,0.023399413870506577,0.0718221904721904,True
81.0,0.0038999999999999035,0.17694862885066992,0.03724248260830356,0.11556525920998732,True
90.0,0.0022000000000000908,0.19038491963384072,0.02888804038210173,0.07951081698378554,True
